# Residuals   
# Time        	Ux            	Uy            	p             
0             	N/A           	N/A           	N/A           
1.1999e-08    	9.300366e-06	1.000000e+00	N/A           
2.63962e-08   	1.118838e-05	5.688016e-02	N/A           
4.36717e-08   	1.346711e-05	2.388559e-02	N/A           
6.44009e-08   	1.621893e-05	1.401579e-02	N/A           
8.92729e-08   	1.954471e-05	9.624402e-03	N/A           
1.19115e-07   	2.356876e-05	7.256710e-03	N/A           
1.54914e-07   	2.844034e-05	5.822102e-03	N/A           
1.97859e-07   	3.434762e-05	4.881407e-03	N/A           
2.49383e-07   	4.152721e-05	4.227560e-03	N/A           
3.11186e-07   	5.024254e-05	3.747414e-03	N/A           
3.85304e-07   	6.081512e-05	3.376973e-03	N/A           
4.74246e-07   	7.367947e-05	3.095499e-03	N/A           
5.67e-07      	7.752363e-05	2.484679e-03	N/A           
6.59755e-07   	7.798979e-05	1.990229e-03	N/A           
7.5251e-07    	7.822020e-05	1.644232e-03	N/A           
8.45264e-07   	7.827519e-05	1.385564e-03	N/A           
9.38019e-07   	7.822733e-05	1.184877e-03	N/A           
1.03077e-06   	7.802521e-05	1.025471e-03	N/A           
1.12353e-06   	7.766719e-05	8.959622e-04	N/A           
1.21628e-06   	7.722424e-05	7.909709e-04	N/A           
1.30904e-06   	7.706150e-05	7.421382e-04	N/A           
1.40179e-06   	7.850397e-05	8.413589e-04	N/A           
1.49455e-06   	7.973033e-05	9.254447e-04	N/A           
1.5873e-06    	8.069560e-05	9.881608e-04	N/A           
1.68006e-06   	8.131453e-05	1.028074e-03	N/A           
1.77281e-06   	8.159650e-05	1.043414e-03	N/A           
1.86557e-06   	8.180655e-05	1.041349e-03	N/A           
1.95832e-06   	8.181004e-05	1.019707e-03	N/A           
2.05108e-06   	8.155324e-05	9.755037e-04	N/A           
2.14392e-06   	8.116015e-05	9.161317e-04	N/A           
2.23676e-06   	8.069984e-05	8.603316e-04	N/A           
2.3296e-06    	8.104627e-05	8.418669e-04	N/A           
2.42245e-06   	8.247445e-05	9.009368e-04	N/A           
2.51529e-06   	8.409661e-05	9.570541e-04	N/A           
2.60813e-06   	8.565823e-05	9.957673e-04	N/A           
2.70097e-06   	8.682244e-05	1.016402e-03	N/A           
2.79382e-06   	8.763282e-05	1.017347e-03	N/A           
2.88666e-06   	8.802425e-05	9.937852e-04	N/A           
2.9795e-06    	8.798049e-05	9.501596e-04	N/A           
3.07234e-06   	8.761570e-05	8.888531e-04	N/A           
3.16519e-06   	8.706132e-05	8.172117e-04	N/A           
3.25803e-06   	8.671659e-05	7.492766e-04	N/A           
3.35087e-06   	8.699705e-05	7.144053e-04	N/A           
3.44371e-06   	8.774777e-05	7.177591e-04	N/A           
3.53656e-06   	8.920420e-05	7.610746e-04	N/A           
3.6294e-06    	9.069557e-05	8.104646e-04	N/A           
3.72224e-06   	9.189903e-05	8.539097e-04	N/A           
3.81508e-06   	9.276680e-05	8.860903e-04	N/A           
3.90793e-06   	9.324429e-05	9.038773e-04	N/A           
